proj_id;sfield_id
1201;205
1201;202
1201;208
1202;206
1202;203
1202;210
1203;205
1203;209
1203;203
1204;207
1204;208
1204;204
1205;208
1205;207
1205;206
1206;202
1206;210
1206;209
1207;202
1207;201
1207;208
1208;205
1208;210
1208;207
1209;202
1209;206
1209;209
1210;201
1210;207
1210;206
1211;209
1211;210
1211;204
1212;202
1212;210
1212;204
1213;203
1213;204
1213;209
1214;201
1214;210
1214;204
1215;209
1215;208
1215;206
1216;203
1216;207
1216;210
1217;206
1217;210
1217;202
1218;205
1218;201
1218;203
1219;203
1219;209
1219;202
1220;210
1220;204
1220;205
1221;205
1221;202
1221;206
1222;204
1222;201
1222;210
1223;206
1223;205
1223;208
1224;205
1224;208
1224;204
1225;201
1225;203
1225;205
1226;201
1226;203
1226;205
1227;210
1227;207
1227;204
1228;209
1228;205
1228;204
1229;201
1229;206
1229;209
1230;202
1230;204
1230;209
1231;210
1231;206
1231;204
1232;209
1232;204
1232;202
1233;201
1233;204
1233;205
1234;204
1234;207
1234;206
1235;210
1235;209
1235;202
1236;208
1236;204
1236;202
1237;201
1237;210
1237;202
1238;205
1238;210
1238;204
1239;209
1239;210
1239;206
1240;206
1240;207
1240;202
1241;204
1241;210
1241;206
1242;207
1242;204
1242;203
1243;210
1243;207
1243;201
1244;210
1244;202
1244;207
1245;205
1245;203
1245;201
1246;205
1246;203
1246;206
1247;201
1247;210
1247;209
1248;206
1248;202
1248;201
1249;208
1249;204
1249;210
1250;207
1250;201
1250;210
1251;207
1251;210
1251;204
1252;208
1252;206
1252;203
1253;201
1253;207
1253;203
1254;209
1254;210
1254;208
1255;209
1255;208
1255;202
1256;202
1256;209
1256;210
1257;206
1257;204
1257;208
1258;209
1258;207
1258;204
1259;201
1259;206
1259;210
1260;205
1260;203
1260;208
