org_id;abbreviation;name;zipcode;street;city;category;capital ;budget_min_ed;budget_individ
1101;ATOI;AIR GROUP;91867;93 Cleveland Street;Chicago;Company;345888;NULL;NULL
1102;ACE;SPACEVILLE;23403;49 Rosewood St.;Houston;R. Center;NULL;37210;848753
1103;BNT;BIONTECH;47753;181 Clay Dr.;Montreal;Company;459219;NULL;NULL
1104;STF;STANFORD;27810;609 Saxon Street;California;University;NULL;107373;NULL
1105;EMP;METSOVIO;12737;20 Green Lake St.;Athens;University;NULL;68436;NULL
1106;KGR;K GROUP;33354;567 Hudson St.;Illinois;Company;540569;NULL;NULL
1107;SM;SMENT;42365;141 Selby Drive;Seoul;Company;937924;NULL;NULL
1108;KQ;KQ GROUP;57258;8 Old York St.;San Francisco;Company;512220;NULL;NULL
1109;BGHE;BIGHITENT;95816;9 Young Ave.;Los Angeles;Company;536892;NULL;NULL
1110;JYP;JYPENT;97532;13 Yukon St.; Milwaukee;Company;563585;NULL;NULL
1111;HRVRD;HARVARD;65484;413 Water Ave.;Massachusetts;University;NULL;197781;NULL
1112;CHMX;CHEMEX;60223;87 Gregory Ave.;Boston;R. Center;NULL;221015;690654
1113;CJ;CJENT;77908;851 Beaver Ridge ;Seattle;R. Center;NULL;49538;255659
1114;YNS;YONSEI UNI;42625;02 Jones Road;Seoul;University;NULL;54981;NULL
1115;SLU;SEOUL UNI;54215;383 Liberty Street;Seoul;University;NULL;182008;NULL
1116;HMC ;HUMANRES;19010;40 St Paul Lane;New York;R. Center;NULL;202628;418831
1117;MIT;MAS INSTITUTE;33496;613 Alton St.;Massachusetts;R. Center;NULL;55037;120877
1118;CMB;CAMBRIDGE;14843;118 Summer Lane;Cambridge;University;NULL;175548;NULL
1119;ICAR;GUWATIRES;74954;96 Aspen Street;Guwati;R. Center;NULL;183376;142289
1120;CLMTR;CLIMATERES;77955;772 Bayport St.;New Delhi;R. Center;NULL;19834;771513
1121;HSTR;HISTORRES;61805;577 53rd Ave.;Cairo;R. Center;NULL;36268;633624
1122;INLVS;INTELLIVISION;52308;94 Stanley Road;Texas;Company;144297;NULL;NULL
1123;OMN;OMNILERT;21909;60 Church Street;Washington;Company;886353;NULL;NULL
1124;CLU;CALI UNI;30922;05 Fawn Drive;California;University;NULL;215640;NULL
1125;ENRG;ENRGHEX;52758;14 Beech St.;London;Company;712346;NULL;NULL
1126;SHFLDM;SHEFFIELD UNI;10169;68 Kings Road;Sheffield;University;NULL;107103;NULL
1127;RBT;ROBOTICSCO;55900;49 Sussex Rd.;Sussex;R. Center;NULL;263973;133020
1128;TXT;TIMEXTECH;45794;74 Iroquois St.;Oklahoma;Company;952017;NULL;NULL
1129;SGR;S GROUP;23216;10 Albany St.;Torronto;Company;968092;NULL;NULL
1130;GTOP;GOTOP;84122;580 Prince St.;Singapore;Company;417364;NULL;NULL
