prog_id;name;address_elidek
2001;PR1;ADR4
2002;PR2;ADR3
2003;PR3;ADR10
2004;PR4;ADR9
2005;PR5;ADR10
2006;PR6;ADR10
2007;PR7;ADR7
2008;PR8;ADR9
2009;PR9;ADR5
2010;PR10;ADR10
2011;PR11;ADR3
2012;PR12;ADR2
2013;PR13;ADR7
2014;PR14;ADR5
2015;PR15;ADR2
2016;PR16;ADR6
2017;PR17;ADR6
2018;PR18;ADR4
2019;PR19;ADR6
2020;PR20;ADR10
2021;PR21;ADR8
2022;PR22;ADR6
2023;PR23;ADR8
2024;PR24;ADR4
2025;PR25;ADR5
2026;PR26;ADR10
2027;PR27;ADR6
2028;PR28;ADR6
2029;PR29;ADR7
2030;PR30;ADR9
2031;PR31;ADR2
2032;PR32;ADR6
2033;PR33;ADR10
2034;PR34;ADR5
2035;PR35;ADR3
